Problem,Start,End
Question 7 Spring 2017 Exam 1,1275,1434
Question 11 Fall 2018 Exam 1,2495,2697
Question 11 Spring 2016 Exam 1,2026,2134
Question 8 Spring 2016 Exam 1,1292,1487
Question 4 Spring 2016 Exam 1,337,653
Question 7 Fall 2017 Exam 1,1451,1705
Question 2 Fall 2017 Exam 1,432,559
Question 11 Fall 2017 Exam 1,2590,2870
Question 10 Fall 2017 Exam 1,2165,2590
Question 3 Spring 2019 Exam 1,851,1269
Question 11 Spring 2019 Exam 1,2657,3040
Question 6 Fall 2021 Exam 1,1636,1869
Question 12 Fall 2018 Exam 1,2696,2943
Question 3 Fall 2018 Exam 1,826,1002
Question 10 Fall 2018 Exam 1,2324,2495
Question 11 Spring 2017 Exam 1,1984,2059
Question 4 Spring 2017 Exam 1,647,893
Question 13 Spring 2016 Exam 1,2320,2501
Question 11 Fall 2016 Exam 1,2122,2278
Question 9 Spring 2020 Exam 1,2778,2863
Question 8 Fall 2016 Exam 1,1507,1725
