Problem,Start,End
Question 11 Spring 2020 Exam 1,3115,3410
Question 7 Spring 2017 Exam 1,1275,1434
Question 9 Fall 2021 Exam 1,2529,2776
Question 6 Fall 2018 Exam 1,1498,1670
Question 5 Fall 2018 Exam 1,1301,1498
Question 10 Spring 2016 Exam 1,1811,2027
Question 7 Spring 2016 Exam 1,1006,1292
Question 12 Spring 2022 Exam 1,3929,4030
Question 6 Fall 2016 Exam 1,1000,1325
Question 11 Spring 2022 Exam 1,3573,3929
Question 8 Spring 2017 Exam 1,1434,1970
Question 7 Fall 2017 Exam 1,1451,1705
Question 10 Spring 2020 Exam 1,2863,3115
Question 10 Spring 2019 Exam 1,2389,2657
Question 6 Fall 2021 Exam 1,1636,1868
Question 8 Spring 2020 Exam 1,2336,2778
Question 7 Fall 2021 Exam 1,1869,2220
Question 8 Fall 2021 Exam 1,2220,2529
Question 7 Fall 2018 Exam 1,1670,1835
Question 9 Fall 2018 Exam 1,2098,2324
Question 9 Spring 2017 Exam 1,1434,1971
Question 10 Spring 2022 Exam 1,3215,3573
Question 14 Spring 2016 Exam 1,2501,2714
Question 9 Fall 2017 Exam 1,1859,2165
Question 5 Fall 2017 Exam 1,1029,1180
Question 10 Fall 2021 Exam 1,2776,3272
Question 9 Spring 2020 Exam 1,2778,2863
Question 9 Spring 2022 Exam 1,2983,3215
Question 12 Spring 2020 Exam 1,3410,3789
Question 12 Fall 2016 Exam 1,2278,2528
Question 9 Fall 2016 Exam 1,1724,2040
Question 10 Fall 2016 Exam 1,2040,2122
Question 5 Fall 2016 Exam 1,700,1000
