Problem,Start,End
Question 11 Fall 2018 Exam 1,2495,2696
Question 1 Spring 2022 Exam 1,45,317
Question 6 Spring 2022 Exam 1,2031,2455
Question 12 Spring 2016 Exam 1,2134,2319
Question 6 Spring 2016 Exam 1,769,1003
Question 6 Spring 2017 Exam 1,1051,1262
Question 11 Fall 2017 Exam 1,2590,2870
Question 2 Spring 2017 Exam 1,269,445
Question 1 Spring 2019 Exam 1,59,247
Question 4 Fall 2018 Exam 1,1002,1299
Question 12 Spring 2017 Exam 2,2223,2268
Question 11 Fall 2017 Exam 2,2645,2886
Question 3 Fall 2016 Exam 1,327,453
Question 10 Spring 2019 Final,1635,1815
