Problem,Start,End
Question 2 Fall 2018 Exam 1,563,826
Question 6 Spring 2019 Exam 1,1791,2016
Question 3 Spring 2022 Exam 1,997,1241
Question 6 Spring 2020 Exam 1,1653,1822
Question 5 Spring 2020 Exam 1,1188,1653
Question 4 Fall 2021 Exam 1,1091,1371
Question 3 Fall 2017 Exam 2,511,753
Question 3 Spring 2016 Exam 2,676,1046
Question 6 Spring 2017 Exam 2,952,1153
Question 3 Spring 2019 Final,467,563
Question 3 Fall 2017 Exam 1,559,705
Question 1 Fall 2016 Exam 1,1,82
Question 5 Spring 2016 Exam 1,653,769
Question 5 Spring 2017 Exam 1,892,1051
